meal,vegetarian,healthy,pasta,rice,potatoes,noodles,easy,cheesy
gochujang pasta,,,TRUE,,,,TRUE,TRUE
mirin salmon,,TRUE,,TRUE,,,TRUE,
vegetarian enchilladas,TRUE,,,,,,,TRUE
med chicken tray bake,,TRUE,,,TRUE,,TRUE,
kale mac and cheese,TRUE,,TRUE,,,,TRUE,TRUE
smokey chipotle chicken,,TRUE,,,TRUE,,TRUE,
jerk chicken,,,,,TRUE,,TRUE,
polenta with prawns,,,,,,,TRUE,TRUE
squash gratin,TRUE,TRUE,,,,,TRUE,
miso aubergine,TRUE,TRUE,,,,TRUE,,
chicken fajitas,,,,,,,TRUE,
salsa verde seabass,,TRUE,,,TRUE,,,
beef chilli,,,,TRUE,,,,
vegetarian chilli,TRUE,TRUE,,TRUE,,,,
salmon tray bake,,TRUE,,,TRUE,,TRUE,
aubergine parmesan bake,TRUE,,,,,,,TRUE
vegetarian lasagne,,TRUE,TRUE,,,,,
fish pie,,,,,TRUE,,,TRUE
vietnamese noodle salad,,TRUE,,,,,TRUE,
gochujang carbonara,,,,,,TRUE,TRUE,TRUE
spaghetti carbonara,,,TRUE,,,,TRUE,TRUE
fish cakes and wedges,,,,,TRUE,,TRUE,
peanut and wild rice salad,TRUE,TRUE,,,,,TRUE,
caesar salad,,,,,,,TRUE,TRUE
vegetarian tacos,TRUE,,,,,,,
spaghetti bolognese,,,TRUE,,,,,
meat/fish curry,,,,TRUE,,,TRUE,
"sweet potato, spinach and chickpea curry",TRUE,,,TRUE,,,TRUE,
cheesy orzotto,,,,,,,,TRUE
miso chicken,,TRUE,,TRUE,,TRUE,TRUE,
yak-gochujang beef,,,,TRUE,,TRUE,TRUE,
chicken laksa,,TRUE,,,,TRUE,,
lentil dahl,TRUE,TRUE,,TRUE,,,,
kimchi fried rice,TRUE,,,TRUE,,,TRUE,
homemade chicken katsu,,,,TRUE,,,,
meatballs in tomato sauce,,,,,,,TRUE,
sausage rigatoni,,,TRUE,,,,TRUE,TRUE,
bean-otto,TRUE,TRUE,,,,,TRUE,,
meal,,,,TRUE,,,,,
